region,district,year,crop,area_ha,yield_mt_ha,production_mt,production_corrected,crop_group,cluster,group_name
ASHANTI,Bekwai Municipal (Amansie East),2013,Maize,3400.0,2.4,8160.0,False,cereal,0,Root & tuber belt
ASHANTI,Bosome Freho,2013,Maize,2250.0,1.1,2475.0,False,cereal,0,Root & tuber belt
ASHANTI,Amansie Central,2013,Maize,4746.0,1.1,5220.6,False,cereal,0,Root & tuber belt
ASHANTI,Amansie West,2013,Maize,3186.0,2.4,7646.4,False,cereal,0,Root & tuber belt
ASHANTI,Ejura Sekyedumase,2013,Maize,20420.0,1.3,26546.0,False,cereal,3,Northern cereal-legume
ASHANTI,Mampong Municipal (Sekyere West),2013,Maize,11350.0,1.2,13620.0,False,cereal,0,Root & tuber belt
ASHANTI,Sekyere Central,2013,Maize,7100.0,1.4,9940.0,False,cereal,0,Root & tuber belt
ASHANTI,Sekyere East,2013,Maize,5560.0,1.8,10008.0,False,cereal,0,Root & tuber belt
ASHANTI,Sekyere Afram Plains,2013,Maize,2450.0,1.2,2940.0,False,cereal,0,Root & tuber belt
ASHANTI,Sekyere South,2013,Maize,5400.0,1.3,7020.0,False,cereal,0,Root & tuber belt
ASHANTI,Afigya Kwabre,2013,Maize,3200.0,1.3,4160.0,False,cereal,0,Root & tuber belt
ASHANTI,Ahafo Ano North,2013,Maize,10270.0,1.1,11297.0,False,cereal,0,Root & tuber belt
ASHANTI,Ahafo Ano South,2013,Maize,10050.0,1.1,11055.0,False,cereal,0,Root & tuber belt
ASHANTI,Atwima Mponua,2013,Maize,3680.0,1.4,5152.0,False,cereal,0,Root & tuber belt
ASHANTI,Atwima Nwabiagya,2013,Maize,5700.0,1.5,8550.0,False,cereal,0,Root & tuber belt
ASHANTI,Ejusu Juaben,2013,Maize,3500.0,1.1,3850.0,False,cereal,0,Root & tuber belt
ASHANTI,Bosumtwe,2013,Maize,1650.0,1.1,1815.0,False,cereal,0,Root & tuber belt
ASHANTI,Atwima Kwanwoma,2013,Maize,2150.0,1.1,2365.0,False,cereal,0,Root & tuber belt
ASHANTI,Kwabre East,2013,Maize,830.0,1.1,913.0,False,cereal,0,Root & tuber belt
ASHANTI,Offinso,2013,Maize,9040.0,1.3,11752.0,False,cereal,1,Mixed transitional
ASHANTI,Offinso North,2013,Maize,13150.0,1.2,15780.0,False,cereal,1,Mixed transitional
ASHANTI,Adansi North,2013,Maize,3770.0,1.1,4147.0,False,cereal,0,Root & tuber belt
ASHANTI,Obuasi Municipal (Adansi West),2013,Maize,960.0,1.1,1056.0,False,cereal,1,Mixed transitional
ASHANTI,Adansi  South (East),2013,Maize,3530.0,1.1,3883.0,False,cereal,0,Root & tuber belt
